id;code_depense;quantite;date_demande;etat_depense
1;Tasty Divide;53811;2020-08-20;deploy Indiana auxiliary
2;Brand Corporate Sleek Granite Computer;38063;2020-08-19;reinvent
3;Versatile Washington red;61590;2020-08-19;e-tailers
4;Bedfordshire;5102;2020-08-20;lavender Soap Auto Loan Account
5;Kip;68246;2020-08-19;Syrian Pound mission-critical Rubber
6;Cotton back-end;51507;2020-08-20;Brand ROI
7;District black;50768;2020-08-19;Awesome Fresh Bike California back up
8;Senior withdrawal deliver;62162;2020-08-20;synthesize
9;Buckinghamshire;32179;2020-08-19;platforms Hat
10;TCP Antarctica (the territory South of 60 deg S) synthesizing;39257;2020-08-20;West Virginia Squares HDD
