id;numero_facture;date_facturation;prix_unit;tva;frais_livraison;method_paiment
1;best-of-breed robust;2020-08-20;6084;39874;88364;Health
2;Consultant;2020-08-20;49063;84996;86369;facilitate
3;Cotton instruction set wireless;2020-08-19;35638;82781;64930;input
4;quantify Automotive quantifying;2020-08-19;3218;98040;99193;bypass Poland
5;collaboration;2020-08-20;78369;89784;70157;Dalasi
6;Home Loan Account;2020-08-19;3461;31954;46199;Investment Account
7;Quality-focused web-readiness;2020-08-20;53128;51413;45427;Sleek Generic Soft Keyboard
8;Colorado Officer Shoes;2020-08-20;88700;23692;19525;hierarchy
9;Romania Avon Group;2020-08-19;64437;46049;55744;Licensed Granite Fish Regional
10;calculate deposit synthesize;2020-08-19;98625;75696;63382;generate
